name,MW,logP,formula,CAS,vaporPressure,solubility,class,nc,nh,nn,no,nring,pKa,henryConstant,AEGL1_8hr,AEGL1_4hr,AEGL1_60min,AEGL1_30min,AEGL1_10min,AEGL2_8hr,AEGL2_4hr,AEGL2_60min,AEGL2_30min,AEGL2_10min,AEGL3_8hr,AEGL3_4hr,AEGL3_60min,AEGL3_30min,AEGL3_10min
Sarin,140.09,0.3,C4H10FO2P,107-44-8,2.86,46.38,Nerve agent,4,10,0,2,0,undefined,5.72e-07,0.001,0.0014,0.0028,0.004,0.0069,0.013,0.017,0.035,0.05,0.087,0.051,0.07,0.13,0.19,0.38
Soman,182.17,1.78,C7H16FO2P,96-64-0,0.41,21.0,Nerve agent,7,16,0,2,0,undefined,4.7e-06,0.0005,0.0007,0.0014,0.002,0.0035,0.0065,0.0085,0.018,0.025,0.044,0.051,0.07,0.13,0.19,0.38
Tabun,162.13,0.38,C5H11N2O2P,77-81-6,0.07,98.0,Nerve agent,5,11,2,2,0,3.51,1.5e-07,0.001,0.0014,0.0028,0.004,0.0069,0.013,0.017,0.035,0.05,0.087,0.1,0.14,0.26,0.38,0.76
Cyclosarin,180.16,1.67,C7H14FO2P,329-99-7,0.044,3.7,Nerve agent,7,14,0,2,1,undefined,2.8e-06,0.0005,0.0007,0.0014,0.002,0.0035,0.0065,0.0085,0.018,0.025,0.044,0.051,0.07,0.13,0.19,0.38
Diisopropyl fluorophosphate,184.15,1.17,C6H14FO3P,55-91-4,0.579,15.4,Nerve agent,6,14,0,3,0,undefined,3.2e-06,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Methanesulfonyl fluoride,98.1,0.55,CH3SO2F,558-25-8,10.9,30.0,Nerve agent,1,3,0,2,0,undefined,2.81e-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Diisopropylaminoethyl methyl thiolophosphonate,239.32,1.52,C9H22NOP2S,73207-98-4,5.14e-06,331.32,Nerve agent,9,22,1,2,0,undefined,4.38e-12,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
HN-3,204.5,1.65,C6H12ClN,555-77-1,0.011,0.16,Blister agent,6,12,1,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
HN-1,170.08,1.4,C6H13ClN,538-07-8,0.25,0.16,Blister agent,6,13,1,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
HN-2,156.05,0.91,C5H11ClN,51-75-2,0.17,12.0,Blister agent,5,11,1,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Phosgene oxime,113.93,0.73,CHClNO,1794-86-1,0.905,25.21,Blister agent,1,1,1,1,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Ethyldichloroarsine,174.89,2.34,C2H5AsCl2,598-14-1,2.29,0.59,Blister agent,2,5,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Phenyldichloroarsine,222.93,3.06,C6H5AsCl2,696-28-6,0.113,0.08,Blister agent,6,5,0,0,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Sesquimustard,219.2,2.99,C6H12Cl2S,3563-36-8,0.00268,0.1,Blister agent,6,12,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2-Chloroethyl ethyl sulfide,124.63,2.16,C4H9ClS,693-07-2,3.4,1.39,Blister agent,4,9,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Methyldichloroarsine,160.86,1.85,CH3AsCl2,593-89-5,54.4,1.8,Blister agent,1,3,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"1,3-Bis(2-chloroethylthio)-n-propane",233.2,3.48,C7H14Cl2S2,63905-10-2,0.00101,0.03,Blister agent,7,14,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2-Chloroethylchloromethylsulfide,110.6,1.66,C3H6Cl2S,542-81-4,8.98,4.11,Blister agent,3,6,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Bis(2-chloroethylthio) methane,205.16,3.29,C5H10Cl2S2,63869-13-6,0.00603,0.06,Blister agent,5,10,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Bis(2-chloroethylthiomethyl) ether,235.2,1.73,C6H12Cl2OS2,63918-90-1,0.000822,0.95,Blister agent,6,12,0,1,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Bis(2-chloroethylthioethyl) ether,263.2,2.71,C8H16Cl2OS2,63918-89-8,0.000109,0.1,Blister agent,8,16,0,1,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
