Compound,cas,class,mw,logp,reactivegroups,leavinggroup,steric,basescore,predicted_kr,logkow,AEGL1 (10min) - aegl (mg/m³),AEGL1 (30min) - aegl (mg/m³),AEGL1 (4hr) - aegl (mg/m³),AEGL1 (60min) - aegl (mg/m³),AEGL1 (8hr) - aegl (mg/m³),AEGL2 (10min) - aegl (mg/m³),AEGL2 (30min) - aegl (mg/m³),AEGL2 (4hr) - aegl (mg/m³),AEGL2 (60min) - aegl (mg/m³),AEGL2 (8hr) - aegl (mg/m³),AEGL3 (10min) - aegl (mg/m³),AEGL3 (30min) - aegl (mg/m³),AEGL3 (4hr) - aegl (mg/m³),AEGL3 (60min) - aegl (mg/m³),AEGL3 (8hr) - aegl (mg/m³),AEGL1 (10min) - lag time (hr),AEGL1 (30min) - lag time (hr),AEGL1 (4hr) - lag time (hr),AEGL1 (60min) - lag time (hr),AEGL1 (8hr) - lag time (hr),AEGL2 (10min) - lag time (hr),AEGL2 (30min) - lag time (hr),AEGL2 (4hr) - lag time (hr),AEGL2 (60min) - lag time (hr),AEGL2 (8hr) - lag time (hr),AEGL3 (10min) - lag time (hr),AEGL3 (30min) - lag time (hr),AEGL3 (4hr) - lag time (hr),AEGL3 (60min) - lag time (hr),AEGL3 (8hr) - lag time (hr),AEGL1 (10min) - time to dose (hr),AEGL1 (30min) - time to dose (hr),AEGL1 (4hr) - time to dose (hr),AEGL1 (60min) - time to dose (hr),AEGL1 (8hr) - time to dose (hr),AEGL2 (10min) - time to dose (hr),AEGL2 (30min) - time to dose (hr),AEGL2 (4hr) - time to dose (hr),AEGL2 (60min) - time to dose (hr),AEGL2 (8hr) - time to dose (hr),AEGL3 (10min) - time to dose (hr),AEGL3 (30min) - time to dose (hr),AEGL3 (4hr) - time to dose (hr),AEGL3 (60min) - time to dose (hr),AEGL3 (8hr) - time to dose (hr),AEGL1 (10min) - time to dose (days),AEGL1 (30min) - time to dose (days),AEGL1 (4hr) - time to dose (days),AEGL1 (60min) - time to dose (days),AEGL1 (8hr) - time to dose (days),AEGL2 (10min) - time to dose (days),AEGL2 (30min) - time to dose (days),AEGL2 (4hr) - time to dose (days),AEGL2 (60min) - time to dose (days),AEGL2 (8hr) - time to dose (days),AEGL3 (10min) - time to dose (days),AEGL3 (30min) - time to dose (days),AEGL3 (4hr) - time to dose (days),AEGL3 (60min) - time to dose (days),AEGL3 (8hr) - time to dose (days)
"1,3-Bis(2-Chloroethylthio)-N-Propane",63905-10-2,Blister agent,233.2,3.48,undefined,Cl,Medium,0.4,0.0024159564205289,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1-Bromo-2-Butanone,816-40-0,Riot control,151.0,0.6,Carbonyl,Br,Medium,0.001,0.005,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1-Chloroacetophenone,532-27-4,Riot control,154.6,1.93,Carbonyl,Cl,Medium,0.001,0.005,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"2,3,7,8-Tetrachlorodibenzodioxin",1746-01-6,Blood agent,321.98,6.8,Phenol,Cl,High,0.001,4.179073787734306e-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2-Chlorobenzilidene Malononitrile,2698-41-1,Riot control,188.62,2.76,Alkene,Cl,Medium,0.001,0.005,2.76,undefined,undefined,undefined,undefined,undefined,0.083,0.083,0.083,0.083,0.083,140.0,29.0,1.5,11.0,1.5,undefined,undefined,undefined,undefined,undefined,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,undefined,undefined,undefined,undefined,undefined,0.2,0.2,0.4,0.3,0.5,0.2,0.2,0.4,0.3,0.5,undefined,undefined,undefined,undefined,undefined,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02
2-Chloroethyl Ethyl Sulfide,693-07-2,Blister agent,124.63,2.16,undefined,Cl,Low,0.4,0.0150960057051092,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2-Chloroethylchloromethylsulfide,542-81-4,Blister agent,110.6,1.66,undefined,Cl,Low,0.4,0.0242004247821039,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3-Quinuclidinyl Benzilate,6581-06-2,Psychomimetic,337.4,3.01,Carbonyl,Other,High,0.001,1e-05,3.01,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.022,0.067,0.011,undefined,undefined,undefined,1.2,0.21,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3.17,3.17,3.17,undefined,undefined,undefined,3.17,3.17,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.8,0.7,0.9,undefined,undefined,undefined,0.7,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.03,0.03,0.04,undefined,undefined,undefined,0.03,0.04
Acetone Cyanohydrin,75-86-5,Blood agent,85.11,-0.03,undefined,CN,Low,0.001,0.005,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Acrolein,107-02-8,Lung injurant,56.06,-0.01,"Alkene, Carbonyl",Other,Low,0.001,1e-05,-0.01,0.068,0.068,0.068,0.068,0.068,14.2,5.73,0.229,0.229,0.229,14.2,5.73,1.1,3.21,0.619,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,328.5,983.6,7862.3,1966.3,15723.6,328.5,983.6,7862.3,1966.3,15723.6,328.5,983.6,7862.3,1966.3,15723.6,13.69,40.98,327.6,81.93,655.15,13.69,40.98,327.6,81.93,655.15,13.69,40.98,327.6,81.93,655.15
